Country or Area	Year	Scope	Value	Value Footnotes
Afghanistan	1990	Kabul	100	1
Afghanistan	1989	Kabul	56.098579783	1
Afghanistan	1988	Kabul	33.316624896	1
Afghanistan	1987	Kabul	27.209690894	1
Afghanistan	1986	Kabul	21.913116124	1
Afghanistan	1985	Kabul	22.322472849	1
Afghanistan	1984	Kabul	20.158730159	1
Afghanistan	1983	Kabul	17.042606516	1
Afghanistan	1982	Kabul	14.578111947	1
Afghanistan	1981	Kabul	11.796157059	1
Afghanistan	1980	Kabul	9.4068504595	1
Albania	2008	Not applicable	125.52217295	2,3
Albania	2007	Not applicable	118.99113082	3
Albania	2006	Not applicable	115.55432373	3
Albania	2005	Not applicable	114.32372506	3
Albania	2004	Not applicable	114.88913525	3
Albania	2003	Not applicable	114.96674058	3
Albania	2002	Not applicable	110.19955654	3
Albania	2001	Not applicable	103.65853659	3
Albania	2000	Not applicable	100	3,4
Albania	1999	Not applicable	431.92546584	3
Albania	1998	Not applicable	433.2405226	3
Albania	1997	Not applicable	357.80895267	3
Albania	1996	Not applicable	263.01135147	3
Albania	1995	Not applicable	228.50717498	3
Albania	1994	Not applicable	214.28571429	3
Albania	1993	Not applicable	186.91368601	3
Albania	1992	Not applicable	100	3
Albania	1991	Not applicable	45.234525594	3,5
Albania	1990	Not applicable	21.417862497	3,5
Albania	1989	Not applicable	20.689655172	3,5
Algeria	2008	Not applicable	134.60098005	
Algeria	2007	Not applicable	126.71333567	
Algeria	2006	Not applicable	119.29646482	
Algeria	2005	Not applicable	116.64858243	
Algeria	2004	Not applicable	116.43857193	
Algeria	2003	Not applicable	110.95029751	
Algeria	2002	Not applicable	106.21281064	
Algeria	2001	Not applicable	104.36296815	
Algeria	2000	Not applicable	100	
Algeria	1999	Not applicable	102.17010851	
Algeria	1998	Not applicable	101.24256213	
Algeria	1997	Not applicable	94.732236612	
Algeria	1996	Not applicable	90.357017851	
Algeria	1995	Not applicable	74.273713686	
Algeria	1994	Not applicable	57.647882394	
Algeria	1993	Not applicable	40.847042352	
Algeria	1992	Not applicable	33.024151208	
Algeria	1991	Not applicable	26.233811691	
Algeria	1990	Not applicable	21.666083304	
Algeria	1990	Alger	100	1
Algeria	1989	Alger	84.401114206	1
Algeria	1989	Not applicable	17.500875044	
Algeria	1988	Alger	77.39090065	1
Algeria	1987	Alger	74.558960074	1
Algeria	1986	Alger	69.266480966	1
Algeria	1985	Alger	59.192200557	1
Algeria	1984	Alger	52.646239554	1
Algeria	1983	Alger	48.932219127	1
Algeria	1982	Alger	46.425255339	1,2
Algeria	1981	Alger	43.229447452	1
Algeria	1980	Alger	36.530542459	1
Algeria	1979	Alger	32.95369594	1
Algeria	1978	Alger	29.044977063	1
Algeria	1977	Alger	24.386472489	1
Algeria	1976	Alger	21.043165777	1
Algeria	1975	Alger	18.388186917	1
Algeria	1974	Alger	16.495285323	1
Algeria	1973	Alger	15.4013357	1
Algeria	1972	Alger	13.852598032	1
Algeria	1971	Alger	13.324060574	1
Algeria	1970	Alger	12.979896648	1
Algeria	1969	Alger	12.291568795	1
American Samoa	2006	Not applicable	132.16080402	
American Samoa	2005	Not applicable	130.35175879	
American Samoa	2004	Not applicable	123.51758794	
American Samoa	2003	Not applicable	109.74874372	
American Samoa	2002	Not applicable	103.11557789	
American Samoa	2001	Not applicable	101.6080402	
American Samoa	2000	Not applicable	100	
American Samoa	1999	Not applicable	100.50251256	
American Samoa	1998	Not applicable	101.30653266	2
